datetime,lat,lon,depth,magnitude,min_magnitude,max_magnitude,mean_magnitude,median_magnitude,variance_magnitude,kurtosis_magnitude,min_depth,max_depth,mean_depth,median_depth,variance_depth,kurtosis_depth,min_lat,max_lat,mean_lat,median_lat,variance_lat,kurtosis_lat,min_lon,max_lon,mean_lon,median_lon,variance_lon,kurtosis_lon,min_datetime,max_datetime,mean_datetime,median_datetime,variance_datetime,kurtosis_datetime,location_labels
1985-10-04 13:36:07.800,39.2,26.21,14.0,4.2,4.0,4.9,4.3,4.2,0.08399999999999999,-1.1235827664399072,0.0,36.0,11.1,10.0,59.69,1.9836428572811888,38.11,39.71,39.017999999999994,38.989999999999995,0.1480893333333336,-0.2811950066704507,26.09,29.88,27.90366666666667,27.85,1.1453032222222221,-0.8837540858775159,409772881.0,496361997.4,445460400.7,448168967.2,723106283349295.5,-1.2556690756967341,6
1985-10-17 19:15:26.200,38.77,27.83,10.0,4.4,4.0,4.8,4.276666666666666,4.2,0.07178888888888886,-1.0858293475208378,0.0,36.0,11.4,10.0,58.64,1.9294616119071843,38.11,39.71,39.013999999999996,38.989999999999995,0.14613733333333362,-0.22851709260477815,26.09,29.88,27.835333333333338,27.825,1.232018222222222,-0.9936266477395295,409802687.6,497280967.8,448377336.9266666,449478082.4,761656836806445.6,-1.2204544069389467,6
1985-10-23 06:14:32.000,38.8,27.83,12.0,4.3,4.0,4.8,4.283333333333333,4.2,0.07205555555555554,-1.1601424079885443,0.0,36.0,11.466666666666667,10.0,58.315555555555555,1.9358495766753103,38.11,39.71,39.00766666666666,38.989999999999995,0.14798455555555579,-0.30396273217871084,26.09,29.88,27.83266666666667,27.825,1.231826222222222,-0.9921883108384182,409834964.3,498424526.2,451331398.2133333,449638632.2,786820944837247.9,-1.2075407345953513,6
1985-12-01 11:47:38.700,39.29,27.7,15.0,4.6,4.0,4.8,4.266666666666667,4.2,0.06288888888888887,-1.0467355067487427,0.0,36.0,11.533333333333333,10.0,58.24888888888889,1.900565216057852,38.11,39.71,38.98966666666667,38.96,0.14541655555555577,-0.24673364775137685,26.09,29.88,27.818,27.825,1.2252359999999998,-0.9656837781795811,409851126.0,498896072.0,454300101.80333334,452232545.15,796022549328914.9,-1.2070213820632514,6
1985-12-18 05:46:00.800,39.2,26.17,17.0,5.0,4.0,4.8,4.286666666666666,4.2,0.0638222222222222,-1.2350666506311998,0.0,36.0,11.866666666666667,10.0,57.11555555555555,1.8474833037993532,38.11,39.71,39.001,38.989999999999995,0.14824233333333353,-0.32947539935012937,26.09,29.88,27.814000000000007,27.814999999999998,1.2256839999999998,-0.965259070576117,409866924.8,502285658.7,457381252.8933334,456769425.9,797425797980104.0,-1.2014508545486235,6
1985-12-19 09:27:41.500,39.16,26.24,12.0,4.1,4.0,5.0,4.316666666666666,4.2,0.07872222222222221,-0.7747450182754099,0.0,36.0,11.866666666666667,10.0,57.11555555555555,1.8474833037993532,38.11,39.71,39.007333333333335,38.995000000000005,0.1495195555555558,-0.3635171631057088,26.09,29.88,27.75866666666667,27.759999999999998,1.3127048888888886,-1.0658520502951474,414123705.7,503732760.8,460510114.0933333,460413491.75,783997722606600.6,-1.2197553877042826,6
1986-05-14 03:01:25.000,39.49,28.42,8.0,4.5,4.0,5.0,4.3,4.2,0.07733333333333332,-0.5631688466111759,0.0,36.0,12.033333333333333,11.0,56.29888888888889,1.8718288115724295,38.11,39.71,39.01033333333334,38.995000000000005,0.15015655555555577,-0.3797514918365752,26.09,29.88,27.676333333333336,27.71,1.3526365555555555,-1.0462613376336503,414867209.7,503832461.5,463500405.95333326,462190760.55,765893440571645.4,-1.2294221000074985,6
1986-05-20 07:43:36.000,38.4,26.72,10.0,4.0,4.0,5.0,4.316666666666666,4.2,0.07538888888888888,-0.6508363793947036,0.0,36.0,12.2,11.0,54.093333333333334,2.0848767765771097,38.11,39.71,39.021,38.995000000000005,0.15686233333333358,-0.5114859761876325,26.09,29.88,27.647333333333336,27.71,1.2834328888888888,-0.93449227393626,418488485.2,516423685.0,466885621.79666674,465495871.9,768956610506894.1,-1.1844910072647095,6
1986-05-27 04:44:49.600,38.88,27.53,10.0,4.0,4.0,5.0,4.313333333333333,4.2,0.07715555555555555,-0.6844174064006396,0.0,36.0,12.233333333333333,11.0,53.91222222222222,2.094815513226024,38.35,39.71,39.03066666666667,38.995000000000005,0.14195955555555584,-0.8606719328273393,26.09,29.88,27.63266666666667,27.71,1.3039662222222224,-0.9705642313165437,423326672.4,516959016.0,470167972.8233334,472072260.85,763684848120834.5,-1.1862289557091232,6
1986-05-27 08:54:58.200,39.46,28.44,11.0,4.5,4.0,5.0,4.293333333333334,4.2,0.07728888888888888,-0.49203586761244544,0.0,36.0,11.833333333333334,10.0,50.73888888888889,2.9486121303694013,38.35,39.71,39.045333333333346,38.995000000000005,0.1308715555555557,-0.7353153580979734,26.09,29.88,27.665333333333333,27.71,1.2641782222222224,-0.9059192634994635,424532708.9,517553089.6,473308853.39666665,476049631.5,755527779564537.5,-1.196240378158723,6
